Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,0.000000,0.000000,0.000000
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.213989,1.604416,10.746704
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.083588,1.824554,9.716599
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-0.960358,2.146393,9.147110
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.035721,2.379684,9.196152
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-0.913696,2.367722,9.516800
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-0.844299,2.105713,9.800354
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.145798,1.980087,9.187790
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.686569,2.031525,8.856384
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.738022,1.847290,9.455780
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.403030,1.608002,10.116196
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.117081,1.417770,9.796753
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.346802,1.532623,9.453384
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.486771,1.646286,9.605331
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.638718,1.947784,9.513214
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.669830,1.995636,9.082504
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.696152,2.121262,9.129166
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.928253,2.184677,8.990372
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.642303,1.916687,8.977219
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.639923,1.957352,9.689087
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.400635,2.038712,10.052795
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.242706,2.076996,9.278717
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.551376,2.228943,8.626678
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.915085,2.520859,8.649399
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-2.259659,2.744598,9.014313
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-2.145996,2.942001,9.126770
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-2.896149,3.120270,10.165253
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.690170,3.127441,9.969055
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.565735,2.679993,9.942734
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.314484,2.333023,10.162857
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.075211,1.878387,10.087494
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.087173,1.811386,9.821884
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.075211,1.995636,9.726166
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.385071,2.231323,9.589783
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-2.262054,2.523254,9.445007
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.632736,2.395248,9.492874
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.361160,2.236115,9.096863
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.474808,2.366531,8.542923
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-1.717682,2.471817,8.278519
2019-01-28 22:24:39:2439,-0.036087,0.139496,-0.398224,-2.217789,2.641708,8.557281
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.250092,2.714691,9.002335
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.837326,2.695541,9.252396
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.752380,2.711090,9.003540
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.129242,2.644089,7.165848
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.336227,2.659653,9.188980
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.916290,2.656052,9.987000
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.675812,2.398834,10.095871
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.675812,2.437119,9.707031
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.424561,2.502914,9.010712
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.696152,2.547180,8.535736
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.875610,2.708694,8.550095
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.931839,2.682388,8.739136
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.013199,2.647690,8.992767
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.041916,2.591446,9.394760
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.891159,2.504120,9.399551
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.699738,2.428741,9.052597
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.544205,2.292343,9.110016
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.540619,2.371323,9.278717
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.576508,2.443100,9.346909
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.732040,2.549576,9.471329
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.666245,2.547180,9.605331
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.154175,2.666824,9.689087
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.592056,2.231339,10.030060
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.393448,2.520859,9.668747
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.368332,2.614182,9.317001
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.254669,2.693146,8.855194
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.873016,2.544800,8.785797
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.886185,2.245697,8.954483
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.941208,2.341400,9.060974
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.662643,2.362930,9.342133
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.947403,2.463440,9.327774
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.660263,2.763733,8.967651
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.558762,2.325851,8.511810
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-2.874619,2.409607,9.391174
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.826553,2.571106,9.636444
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.114700,2.614182,9.672333
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.142212,2.264832,9.665161
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.916092,2.227737,9.635254
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.986679,2.190659,9.382797
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-1.113495,1.933426,9.711807
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.989059,1.908295,9.851791
2019-01-28 22:24:40:2440,-0.036087,0.139496,-0.398224,-0.887375,1.951370,9.886490
