Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,0.000000,0.000000,0.000000
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.536819,1.326843,9.241623
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.152771,1.202423,9.563461
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.109711,1.056458,9.683105
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.079788,1.067230,9.687881
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.164734,1.123459,9.672333
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.309509,1.137817,9.635239
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.591858,1.160553,9.538330
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.674408,1.289764,9.624481
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.760559,1.274200,9.681900
2019-01-28 22:48:43:4843,0.202026,-0.090286,-0.203903,-0.749786,1.298126,9.641235
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.761749,1.393845,9.517990
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.786880,1.543396,9.391174
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.804825,1.636719,9.428268
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.822769,1.541000,9.634048
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.817978,1.451279,10.058777
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.560745,1.354370,10.254990
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.376511,1.341202,8.785797
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.437531,1.463226,9.632858
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.217377,1.252670,10.082703
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.410004,1.306503,10.015701
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.630142,1.477585,9.448608
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.802429,1.617569,9.303833
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.704315,1.682175,9.175827
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.512894,1.575699,9.206924
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.508102,1.468018,9.205734
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.317886,1.301727,9.563461
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.289169,1.200027,9.952301
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.328644,1.202423,10.110214
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.393250,1.329239,9.800354
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.487778,1.372314,9.656784
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.597839,1.469223,9.812317
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.547592,1.475204,9.850601
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.615784,1.514679,9.747711
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.597839,1.481186,9.681915
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.417191,1.432129,9.967850
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.144394,1.387863,10.031265
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.189865,1.238312,10.112610
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-1.236725,1.652267,5.999359
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.425552,1.422562,8.596756
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,0.529190,0.898529,10.719193
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.841904,0.996628,11.086487
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.739014,1.459641,10.022873
2019-01-28 22:48:44:4844,0.202026,-0.090286,-0.203903,-0.852676,1.642700,9.824280
