Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 23:02:39:239,0.084686,-0.091400,0.002441,0.568665,1.228745,9.848206
2019-01-28 23:02:39:239,0.084686,-0.091400,0.002441,1.079544,0.849472,10.349503
2019-01-28 23:02:39:239,0.084686,-0.091400,0.002441,0.604568,1.180893,10.729965
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.604568,1.180893,10.729965
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.782822,1.019363,10.872345
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.519608,1.596039,10.396164
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.206146,1.416580,9.750107
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.111633,1.347183,9.504837
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.131973,0.876999,10.417694
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.380829,0.665222,11.358078
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,0.127197,0.701126,11.769638
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,-0.103729,0.893753,12.166855
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,-0.400436,1.207214,11.915604
2019-01-28 23:02:40:240,-0.119949,-0.065552,-0.167130,-0.630142,2.006409,10.466751
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,-0.630142,2.006409,10.466751
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,-0.399231,2.947983,8.157684
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,0.184616,2.968323,6.592773
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,1.062790,1.759949,7.461365
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,1.065170,0.611389,10.306427
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,1.266174,0.358948,12.016098
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,1.169266,0.344589,11.920395
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,0.764877,0.697540,11.592575
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,0.335373,1.277802,10.783798
2019-01-28 23:02:40:240,0.064590,-0.011307,0.231689,0.316223,1.720459,9.077713
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.316223,1.720459,9.077713
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.255203,1.926254,7.173035
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.076935,1.896332,5.569839
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.203766,1.884369,5.072128
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.332977,1.880783,5.501648
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.919220,1.756363,7.092865
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,1.468369,0.658051,9.099258
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,1.461197,-0.427109,12.175217
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,1.637054,-0.620926,14.461578
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,1.812927,0.034714,13.744919
2019-01-28 23:02:40:240,0.194275,0.117569,0.322708,0.660782,1.378296,10.928558
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,0.660782,1.378296,10.928558
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,-1.155365,2.810394,8.249802
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,-1.954575,3.555756,6.163254
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,-1.598038,3.367920,5.416702
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,-0.539215,2.449081,6.604736
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,0.963486,0.876999,9.113602
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,2.892105,-0.758499,12.416901
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,3.024902,-0.923615,14.398163
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,1.650223,0.539597,13.908829
2019-01-28 23:02:40:240,-0.004929,0.147934,0.165649,0.894089,1.600815,12.304443
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.894089,1.600815,12.304443
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.382019,1.910690,10.956085
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,-0.140808,2.471817,9.592178
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.030289,2.548386,7.249603
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.137970,2.256454,5.492065
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,-0.086975,2.153564,5.002747
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,-0.207809,1.850876,5.606934
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.171463,1.326843,7.320190
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,0.611740,0.814789,9.716599
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,1.255402,0.201019,12.426483
2019-01-28 23:02:40:240,0.161041,0.169983,-0.110016,1.528198,0.110092,14.136139
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,1.528198,0.110092,14.136139
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,0.711044,1.221558,13.396759
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,-0.057068,2.378494,11.183411
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,-0.366943,2.664429,9.362457
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,-0.608612,2.269623,8.517792
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,0.111633,1.161743,8.885101
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,0.862991,-0.029892,9.922379
2019-01-28 23:02:40:240,-0.303879,0.085312,-0.105804,0.562683,0.069412,10.594757
2019-01-28 23:02:41:241,-0.303879,0.085312,-0.105804,0.051819,1.170120,9.507233
2019-01-28 23:02:41:241,-0.303879,0.085312,-0.105804,0.068573,1.988464,7.835846
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.068573,1.988464,7.835846
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.189407,1.867630,7.683899
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,-0.033142,1.347183,9.935547
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.215729,1.142593,11.891678
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.639252,1.435730,11.551895
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.652420,1.881973,10.126968
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.415527,1.885574,9.673538
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.530380,1.357956,10.750305
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.857010,0.971512,11.569839
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.804352,1.128250,11.318588
2019-01-28 23:02:41:241,-0.077194,-0.079666,-0.052292,0.640442,1.369919,9.803940
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.640442,1.369919,9.803940
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.636871,1.214386,8.924576
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.398773,1.202423,9.145920
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.350922,1.415375,9.116013
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.419113,1.287369,8.527359
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.227692,1.178497,8.145721
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,-0.042709,1.410599,7.888489
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.265976,1.403427,7.984207
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.584213,1.275406,8.247406
2019-01-28 23:02:41:241,0.201294,-0.112900,-0.018570,0.104462,1.415375,8.869553
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.104462,1.415375,8.869553
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,-0.116882,1.573303,9.166245
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.078140,1.710892,8.862366
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.612930,1.636719,8.667358
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.603363,1.448883,9.576630
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.541153,0.912888,11.192978
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.792389,0.367325,11.928772
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,1.095078,0.297928,11.482498
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.533981,1.131836,10.454788
2019-01-28 23:02:41:241,-0.035477,-0.063538,0.000549,0.140350,1.917877,8.824081
2019-01-28 23:02:41:241,0.102341,0.025024,-0.014053,0.140350,1.917877,8.824081
2019-01-28 23:02:41:241,0.102341,0.025024,-0.014053,0.067368,2.061447,7.801147
2019-01-28 23:02:41:241,0.102341,0.025024,-0.014053,0.124802,2.238510,7.515198
2019-01-28 23:02:41:241,0.102341,0.025024,-0.014053,-0.051086,2.322266,7.089279
