Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0,0,0
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.147995,2.161942,8.830063
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.092957,2.117676,8.396957
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,1.004166,1.696533,8.174423
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,2.259201,1.240707,7.460175
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,1.639465,1.239517,7.409927
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.347336,1.678589,7.676727
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.460983,1.968124,8.615906
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,1.049622,1.858047,9.872131
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,1.749527,1.763535,9.837448
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.709854,2.205017,8.498657
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.563354,2.646484,8.36824
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.706909,2.547195,8.770248
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.49614,2.068619,9.092072
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.246826,1.901123,10.007324
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.079788,2.120071,10.840027
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.254669,2.597427,9.916397
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-2.768143,3.115479,9.336136
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.578903,2.877396,9.29068
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.174316,2.222961,9.272736
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.12001,1.927444,9.484497
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.078598,1.899933,9.545517
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.174515,2.13443,8.566849
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.601639,2.166733,9.562256
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.918488,1.6427,10.457184
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.419113,1.409393,10.165253
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.481323,1.442902,9.626877
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.080536,1.74559,9.16626
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.011795,1.920273,9.18779
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.911301,1.647491,9.544312
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.172653,1.264633,10.018097
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.062592,0.888962,10.759872
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.834732,0.952377,9.981003
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.761948,1.192856,9.442627
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.084778,1.112686,9.172241
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.09848,1.08876,10.382996
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.320282,1.083984,10.989578
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.254669,1.774307,9.368454
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.736832,2.184677,9.569443
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-1.308517,1.987274,10.344727
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.472214,1.640305,10.065948
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.098938,1.153366,9.070541
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.172653,0.75856,8.204346
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.179825,0.284775,8.916199
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.102524,0.264435,9.422287
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.248489,0.630539,9.492874
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.368134,0.920059,9.814713
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.006821,1.185669,10.201141
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.069763,1.43692,9.861374
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,-0.073807,1.430939,10.349503
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.215729,1.183273,10.734756
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.478928,0.963135,10.76825
2019-01-28 21:45:16:4516,-0.396973,0.077316,-0.144104,0.780426,0.658051,10.27533
2019-01-28 21:45:17:4517,-0.396973,0.077316,-0.144104,0.873749,0.763336,9.736938
2019-01-28 21:45:17:4517,-0.396973,0.077316,-0.144104,0.42868,1.044495,9.319397
2019-01-28 21:45:17:4517,-0.396973,0.077316,-0.144104,-0.16713,1.249084,8.638641
