Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.835464,1.579285,9.291870
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.816330,1.646286,9.395966
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.757706,1.619965,9.626877
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.904861,1.531433,9.780014
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.789993,1.477585,9.781204
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.563889,1.490753,9.654388
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.731384,1.489563,9.641220
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.867767,1.458450,9.647202
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.872559,1.490753,9.756088
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.714630,1.472809,9.942719
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.757706,1.420166,10.115005
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.591400,1.336411,9.852997
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.368866,1.423752,9.606537
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.488510,1.465637,9.378021
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.835464,1.446487,9.411514
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,1.046036,1.471619,9.768051
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.803162,1.403412,9.869751
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.600967,1.305313,9.757278
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.718216,1.359146,9.809921
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.694290,1.317276,9.616104
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.615326,1.357956,9.324173
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.645233,1.468033,9.351700
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.794785,1.473999,9.662766
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.963486,1.381882,9.873337
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,1.108246,1.334030,9.908020
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.757706,1.409393,9.742920
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.526794,1.409393,9.683105
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.786407,1.409393,9.722580
