Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,0.754105,0.021561,6.735153
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,0.469360,-0.095688,6.487488
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,0.082932,-0.077744,7.059372
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,-0.211395,-0.169876,8.667343
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,-0.279602,-0.553925,10.136536
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,0.259995,-0.455811,11.532745
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,0.466965,0.208206,11.447815
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,-0.191055,1.002609,10.156876
2019-01-28 23:01:10:110,0.000000,0.000000,0.000000,-0.947189,1.485977,9.628067
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-0.947189,1.485977,9.628067
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-0.898148,1.384277,10.314804
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-0.191055,1.014587,11.437042
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-0.021179,0.563538,11.786392
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-0.198242,0.071808,11.812714
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-3.977707,0.185471,12.885895
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-2.459457,0.183075,12.578415
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-2.726257,0.770508,12.207520
2019-01-28 23:01:10:110,-0.269547,0.039688,-0.038177,-2.184280,0.704712,10.239441
2019-01-28 23:01:11:111,-0.269547,0.039688,-0.038177,-0.776108,0.172318,9.161469
2019-01-28 23:01:11:111,-0.269547,0.039688,-0.038177,0.288712,-1.067184,10.308823
2019-01-28 23:01:11:111,-0.141144,0.204376,0.313232,0.288712,-1.067184,10.308823
