Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.000000,0.000000,0.000000
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.633743,0.656860,9.632858
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.378906,0.738205,9.637634
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.211395,0.722656,9.656784
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.299927,0.649673,9.691467
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.055862,0.506119,9.940323
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.191803,0.388870,10.258575
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.166672,0.373306,10.286087
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.024765,0.575500,9.976227
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.121674,0.757355,9.490479
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.037918,0.862640,9.199753
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.006821,0.875793,9.124374
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.001572,0.805206,9.460571
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.029083,0.735825,9.679520
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.063049,0.679596,9.671143
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.082184,0.675995,10.140137
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.267639,0.747772,10.930954
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-1.736832,1.564941,9.771637
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,-0.944809,1.722855,9.711823
2019-01-28 22:45:23:4523,-0.044876,-0.040268,0.102127,0.270767,1.097137,9.906830
2019-01-28 22:45:23:4523,-0.022644,0.039078,0.243469,0.270767,1.097137,9.906830
2019-01-28 22:45:23:4523,-0.022644,0.039078,0.243469,1.531784,0.478592,10.026474
2019-01-28 22:45:23:4523,-0.022644,0.039078,0.243469,1.190796,0.278793,9.832657
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.517227,0.600632,9.485687
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.362885,0.939209,9.787186
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.061386,1.247879,10.372238
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,-0.179092,1.481186,10.646210
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,-0.157562,1.299332,11.098450
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.013535,1.026550,11.188187
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.299469,0.722656,10.709625
2019-01-28 22:45:24:4524,-0.022644,0.039078,0.243469,0.493301,0.715485,9.934341
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,0.493301,0.715485,9.934341
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,0.282715,0.849472,9.155487
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.053482,1.176102,8.478317
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.139618,1.342392,8.150497
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.097748,1.282578,8.132553
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,0.118820,1.077988,8.497452
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,0.155899,0.938019,9.297852
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.113297,1.073212,10.057587
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.167130,1.216782,10.164063
2019-01-28 22:45:24:4524,0.249237,-0.006119,0.095459,-0.192261,1.318481,9.960663
2019-01-28 22:45:24:4524,0.168671,0.051895,-0.028702,-0.192261,1.318481,9.960663
2019-01-28 22:45:24:4524,0.168671,0.051895,-0.028702,-0.114487,1.393845,9.601746
